Artist,Song,Wave,Album
Bikini Kill,Double Dare Ya,3,The First Two Records
Gossip,Where the Girls Are,3,
Bratmobile,Love Thing,3,
Lunachicks,Bitterness Barbie,3,
Cicely Hamilton,The March of the Women,1,
C.C Harrah,The Equal-Rights Banner,1,
Edward Christie,Daughters of Freedom,1,
Aretha Franklin,Respect,2,
Queen Latifah,U.N.I.T.Y.,3,
Florence MacAulay,The Women's Marseillaise,1,
Lesley Gore,You Don't Own Me,2,
Helen Reddy,I Am Woman,2,
Christina Aguilera and Lil' Kim,Can't Hold Us Down,3,
Dolly Parton,9 to 5,2,
Cyndi Lauper,Girls Just Wanna Have Fun,2,
The Mamas and Papas,Go Where You Wanna Go,2,
Sophie Tucker,I Ain't Taking Orders From No One,1,
Yoko Ono,"Sisters, O Sisters",2,
Beyonce,Flawless ,3,
Beyonce,Pretty Hurts,3,
Salt-N-Pepa,None of Your Business ,3,
No Doubt,Just a Girl ,3,
Liv Grace Blue,Don't Need a Man,3,
Demi Lovato,SWINE ,3,
Dolly Parton,Just Because Iâ€™m A Woman,2,
Loretta Lynn,The Pill ,2,
"Gertrude ""Ma"" Rainey",Cell Bound Blues,1,
Le Tigre,Hot Topic,3,
Jeannie C. Riley,Harper Valley P.T.A.,2,
Taylor Swift,The Man,3,
Beyonce ,Run the World (Girls) ,3,
Kesha,Woman ,3,
Jax ,Victoria's Secret ,3,
Lizzo ,Like a Girl ,3,
Bea Miller ,S.L.U.T.,3,
Miley Cyrus ,flowers,3,
Devon Cole ,W.I.T.C.H.,3,
Lizzo ,Truth Hurts ,3,
Meredith Brooks ,Bitch ,3,
Meghan Trainor,NO,3,
Bella Poarch,Build a Bitch,3,
Billie Eilish ,Happier than Ever,3,
Eurythmics ,Sisters Are Doin' It for Themselves,2,
Mary Chapin Carpenter,He Thinks He'll Keep Her,2,
Bessie Smith,Sam Jones Blues,1,
The Stone Poneys,Different Drum,2,
Alanis Morissette,You Oughta Know,2,
Barbra Streisand,No More Tears (Enough Is Enough),2,
Sleater-Kinner,#1 Must Have ,3,
Solange ,Don't Touch My Hair ,3,
David Edelstadt,Arber Froyen ,1,
Aretha Franklin,"Do Right Woman, Do Right Man",2,
Charlotte Perkins Gilman(,Another Star,1,
Margie Adams,We Shall Go Forth,2,
Alicia Keys,Girl on Fire,3,
Bikini Kill,Rebel Girl,3,
Adella Hunt Logan,Just As Well as He,1,
Naomi Littlebear Morena,You Can't Kill the Spirit,2,
Ruth Etting,"Tomorrow, Who Cares? (A Woman's Choice)",1,
Alice Gerrard ,Don't Put Her Down You Helped Put Her There,2,
Zolita,Fight Like a Girl,3,
Joan Jett & the Blackhearts,Bad Reputation,2,
Chaka Khan,I'm Every Woman,2,
Robert Burns,A Man's a Man for a That,1,
Edward Christie,Daughters of Freedom,1,
Joseph Rumshinsky,Damen Rechte,1,
Paulina,Yo No Soy Esa Mujer,3,
Marion Harris,There'll Be Some Changes Made,1,
Maurice Burkhardt,Since My Margaret Became a Suffragette,1,
Billy Murray,Your Mother's Gone Away to Join the Army,1,
D. Estabrook,Keep Woman in Her Sphere,1,
Billie Eilish ,What Was I Made For?,3,
Sophie Tucker,I Ain't Taking Orders from No One,1,
Billie Holiday,You Ain't Gonna Bother Me No More,2,
Pink,Stupid Girl,3,